theta_condition,seed,episode,label,duration,reward_count,wrong_arm_count,timeout_count
clean_theta,0,0,reached_goal,45.87999999999944,1,0,0
clean_theta,0,1,reached_goal,64.61000000002018,1,0,0
clean_theta,0,2,reached_goal,45.96999999998306,1,0,0
clean_theta,0,3,reached_goal,51.80999999995288,1,0,0
clean_theta,0,4,wrong_arm,58.03999999994724,0,1,0
clean_theta,0,5,reached_goal,46.249999999957936,1,0,0
clean_theta,0,6,timeout,85.00999999992268,0,0,1
clean_theta,0,7,reached_goal,45.49999999995862,1,0,0
clean_theta,0,8,reached_goal,46.019999999958145,1,0,0
clean_theta,0,9,timeout,85.00999999992274,0,0,1
clean_theta,2,0,reached_goal,45.5899999999995,1,0,0
clean_theta,2,1,reached_goal,45.380000000010135,1,0,0
clean_theta,2,2,reached_goal,45.96000000001081,1,0,0
clean_theta,2,3,wrong_arm,49.82999999995468,0,1,0
clean_theta,2,4,reached_goal,45.49999999995862,1,0,0
clean_theta,2,5,reached_goal,54.999999999950006,1,0,0
clean_theta,2,6,wrong_arm,49.24999999995521,0,1,0
clean_theta,2,7,timeout,85.00999999992268,0,0,1
clean_theta,2,8,reached_goal,45.54999999995857,1,0,0
clean_theta,2,9,reached_goal,45.77999999995842,1,0,0
clean_theta,4,0,reached_goal,65.75999999999674,1,0,0
clean_theta,4,1,reached_goal,45.72000000002339,1,0,0
clean_theta,4,2,reached_goal,45.759999999981844,1,0,0
clean_theta,4,3,timeout,85.00999999992268,0,0,1
clean_theta,4,4,reached_goal,45.42999999995871,1,0,0
clean_theta,4,5,wrong_arm,49.219999999955235,0,1,0
clean_theta,4,6,reached_goal,45.52999999995859,1,0,0
clean_theta,4,7,reached_goal,83.8999999999237,1,0,0
clean_theta,4,8,wrong_arm,49.65999999995489,0,1,0
clean_theta,4,9,reached_goal,45.64999999995848,1,0,0
clean_theta,6,0,reached_goal,46.369999999999344,1,0,0
clean_theta,6,1,wrong_arm,81.56000000002919,0,1,0
clean_theta,6,2,reached_goal,46.059999999958194,1,0,0
clean_theta,6,3,reached_goal,45.6299999999585,1,0,0
clean_theta,6,4,reached_goal,48.42999999995598,1,0,0
clean_theta,6,5,reached_goal,45.60999999995852,1,0,0
clean_theta,6,6,reached_goal,45.86999999995828,1,0,0
clean_theta,6,7,reached_goal,66.48999999993953,1,0,0
clean_theta,6,8,reached_goal,50.23999999995431,1,0,0
clean_theta,6,9,reached_goal,45.5799999999586,1,0,0
clean_theta,42,0,reached_goal,45.63999999999949,1,0,0
clean_theta,42,1,reached_goal,45.75000000001036,1,0,0
clean_theta,42,2,reached_goal,45.70000000001045,1,0,0
clean_theta,42,3,reached_goal,45.76999999995837,1,0,0
clean_theta,42,4,reached_goal,45.899999999958254,1,0,0
clean_theta,42,5,wrong_arm,49.32999999995516,0,1,0
clean_theta,42,6,reached_goal,46.119999999958054,1,0,0
clean_theta,42,7,reached_goal,45.50999999995861,1,0,0
clean_theta,42,8,wrong_arm,49.119999999955326,0,1,0
clean_theta,42,9,reached_goal,45.98999999995817,1,0,0
