theta_condition,seed,episode,label,duration,reward_count,wrong_arm_count,timeout_count
ScrTheta_0.2,0,0,timeout,90.00000000000914,0,0,1
ScrTheta_0.2,0,1,timeout,90.00999999997212,0,0,1
ScrTheta_0.2,0,2,timeout,90.00999999991816,0,0,1
ScrTheta_0.2,0,3,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,0,4,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,0,5,timeout,90.0099999999182,0,0,1
ScrTheta_0.2,0,6,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,0,7,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,0,8,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,0,9,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,2,0,reached_goal,65.22999999999647,1,0,0
ScrTheta_0.2,2,1,timeout,90.00000000000733,0,0,1
ScrTheta_0.2,2,2,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,2,3,reached_goal,45.61999999995854,1,0,0
ScrTheta_0.2,2,4,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,2,5,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,2,6,timeout,90.0099999999182,0,0,1
ScrTheta_0.2,2,7,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,2,8,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,2,9,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,4,0,wrong_arm,85.46000000000681,0,1,0
ScrTheta_0.2,4,1,timeout,90.00999999997858,0,0,1
ScrTheta_0.2,4,2,reached_goal,63.129999999942584,1,0,0
ScrTheta_0.2,4,3,timeout,90.00999999991816,0,0,1
ScrTheta_0.2,4,4,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,4,5,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,4,6,reached_goal,60.17999999994532,1,0,0
ScrTheta_0.2,4,7,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,4,8,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,4,9,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,6,0,timeout,90.00000000000914,0,0,1
ScrTheta_0.2,6,1,timeout,90.00999999997212,0,0,1
ScrTheta_0.2,6,2,reached_goal,46.669999999957554,1,0,0
ScrTheta_0.2,6,3,timeout,90.00999999991816,0,0,1
ScrTheta_0.2,6,4,wrong_arm,69.09999999993715,0,1,0
ScrTheta_0.2,6,5,reached_goal,73.38999999993325,1,0,0
ScrTheta_0.2,6,6,timeout,90.0099999999182,0,0,1
ScrTheta_0.2,6,7,reached_goal,66.48999999993953,1,0,0
ScrTheta_0.2,6,8,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,6,9,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,42,0,timeout,90.00000000000914,0,0,1
ScrTheta_0.2,42,1,wrong_arm,89.72999999997238,0,1,0
ScrTheta_0.2,42,2,timeout,90.00999999991816,0,0,1
ScrTheta_0.2,42,3,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,42,4,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,42,5,reached_goal,51.05999999995356,1,0,0
ScrTheta_0.2,42,6,timeout,90.0099999999182,0,0,1
ScrTheta_0.2,42,7,reached_goal,81.23999999992611,1,0,0
ScrTheta_0.2,42,8,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,42,9,timeout,90.00999999991814,0,0,1
