theta_condition,seed,episode,label,duration,reward_count,wrong_arm_count,timeout_count
clean_theta,0,0,reached_goal,47.469999999999125,1,0,0
clean_theta,0,1,reached_goal,46.090000000011834,1,0,0
clean_theta,0,2,timeout,90.00999999996706,0,0,1
clean_theta,0,3,reached_goal,45.919999999958236,1,0,0
clean_theta,0,4,timeout,90.00999999991816,0,0,1
clean_theta,0,5,reached_goal,73.34999999993329,1,0,0
clean_theta,0,6,reached_goal,46.04999999995812,1,0,0
clean_theta,0,7,reached_goal,47.69999999995662,1,0,0
clean_theta,0,8,reached_goal,50.39999999995422,1,0,0
clean_theta,0,9,reached_goal,45.76999999995837,1,0,0
clean_theta,2,0,reached_goal,46.109999999999395,1,0,0
clean_theta,2,1,timeout,90.0000000000218,0,0,1
clean_theta,2,2,reached_goal,46.15999999995802,1,0,0
clean_theta,2,3,reached_goal,64.85999999994101,1,0,0
clean_theta,2,4,reached_goal,46.71999999995754,1,0,0
clean_theta,2,5,reached_goal,47.63999999995667,1,0,0
clean_theta,2,6,reached_goal,45.72999999995841,1,0,0
clean_theta,2,7,wrong_arm,53.82999999995104,0,1,0
clean_theta,2,8,timeout,90.0099999999182,0,0,1
clean_theta,2,9,reached_goal,47.86999999995646,1,0,0
clean_theta,4,0,reached_goal,86.74000000000747,1,0,0
clean_theta,4,1,reached_goal,48.230000000014755,1,0,0
clean_theta,4,2,reached_goal,55.289999999949714,1,0,0
clean_theta,4,3,reached_goal,47.0599999999572,1,0,0
clean_theta,4,4,reached_goal,53.7999999999511,1,0,0
clean_theta,4,5,reached_goal,47.30999999995697,1,0,0
clean_theta,4,6,reached_goal,46.19999999995798,1,0,0
clean_theta,4,7,reached_goal,45.87999999995827,1,0,0
clean_theta,4,8,reached_goal,46.05999999995811,1,0,0
clean_theta,4,9,reached_goal,54.05999999995089,1,0,0
clean_theta,6,0,reached_goal,46.29999999999936,1,0,0
clean_theta,6,1,timeout,90.00000000002166,0,0,1
clean_theta,6,2,reached_goal,78.51999999992859,1,0,0
clean_theta,6,3,reached_goal,46.56999999995767,1,0,0
clean_theta,6,4,reached_goal,46.30999999995788,1,0,0
clean_theta,6,5,reached_goal,46.139999999958036,1,0,0
clean_theta,6,6,reached_goal,46.0699999999581,1,0,0
clean_theta,6,7,timeout,90.00999999991814,0,0,1
clean_theta,6,8,reached_goal,45.7999999999584,1,0,0
clean_theta,6,9,reached_goal,47.84999999995648,1,0,0
clean_theta,42,0,reached_goal,46.17999999999938,1,0,0
clean_theta,42,1,reached_goal,55.79000000001588,1,0,0
clean_theta,42,2,reached_goal,46.02999999999511,1,0,0
clean_theta,42,3,reached_goal,54.47999999995045,1,0,0
clean_theta,42,4,timeout,90.00999999991816,0,0,1
clean_theta,42,5,reached_goal,83.36999999992418,1,0,0
clean_theta,42,6,reached_goal,64.96999999994091,1,0,0
clean_theta,42,7,timeout,90.0099999999182,0,0,1
clean_theta,42,8,reached_goal,45.82999999995832,1,0,0
clean_theta,42,9,reached_goal,49.49999999995498,1,0,0
